Freq.	V(out)
1.72803637895252e+003	2.07480915099432e+001,-2.10867070622379e+001
1.73341968013675e+003	2.07069259534920e+001,-2.10802391760011e+001
1.73880298132097e+003	2.06658037416000e+001,-2.10737641633193e+001
1.74418628250520e+003	2.06247252692463e+001,-2.10672813061105e+001
1.74956958368943e+003	2.05836909282377e+001,-2.10607899029040e+001
1.75495288487365e+003	2.05427011071819e+001,-2.10542892685543e+001
1.76033618605788e+003	2.05017561914740e+001,-2.10477787339642e+001
1.76571948724211e+003	2.04608565632728e+001,-2.10412576458138e+001
1.77110278842633e+003	2.04200026014938e+001,-2.10347253662860e+001
1.77648608961056e+003	2.03791946817836e+001,-2.10281812728069e+001
1.78186939079479e+003	2.03384331765100e+001,-2.10216247577840e+001
1.78725269197901e+003	2.02977184547505e+001,-2.10150552283531e+001
1.79263599316324e+003	2.02570508822745e+001,-2.10084721061206e+001
1.79801929434747e+003	2.02164308215358e+001,-2.10018748269294e+001
1.80340259553169e+003	2.01758586316597e+001,-2.09952628405918e+001
1.80878589671592e+003	2.01353346684363e+001,-2.09886356106858e+001
1.81416919790015e+003	2.00948592843038e+001,-2.09819926142888e+001
1.81955249908437e+003	2.00544328283476e+001,-2.09753333417628e+001
1.82493580026860e+003	2.00140556462925e+001,-2.09686572965247e+001
1.83031910145283e+003	1.99737280804915e+001,-2.09619639948097e+001
1.83570240263705e+003	1.99334504699232e+001,-2.09552529654833e+001
1.84108570382128e+003	1.98932231501862e+001,-2.09485237497864e+001
1.84646900500551e+003	1.98530464534942e+001,-2.09417759011547e+001
1.85185230618973e+003	1.98129207086737e+001,-2.09350089849879e+001
1.85723560737396e+003	1.97728462411583e+001,-2.09282225784553e+001
1.86261890855819e+003	1.97328233729897e+001,-2.09214162702934e+001
1.86800220974241e+003	1.96928524228128e+001,-2.09145896606028e+001
1.87338551092664e+003	1.96529337058804e+001,-2.09077423606501e+001
1.87876881211087e+003	1.96130675340422e+001,-2.09008739926827e+001
1.88415211329509e+003	1.95732542157565e+001,-2.08939841897330e+001
1.88953541447932e+003	1.95334940560880e+001,-2.08870725954450e+001
1.89491871566355e+003	1.94937873567030e+001,-2.08801388638634e+001
1.90030201684777e+003	1.94541344158790e+001,-2.08731826592845e+001
1.90568531803200e+003	1.94145355285036e+001,-2.08662036560542e+001
1.91106861921623e+003	1.93749909860766e+001,-2.08592015384195e+001
